Timestamp,Temperature(C),Humidity(%),Pressure(hPa)
2026-06-07 15:24:45,28.52,37.65,1009.77
2026-06-07 15:24:48,28.49,37.57,1009.74
2026-06-07 15:24:50,28.48,37.61,1009.76
2026-06-07 15:24:51,28.48,37.61,1009.75
2026-06-07 15:24:52,28.48,37.67,1009.75
2026-06-07 15:24:52,28.48,37.63,1009.77
2026-06-07 15:49:13,28.33,37.8,1009.78
2026-06-07 15:49:31,28.35,37.71,1009.78
2026-06-07 16:31:09,28.43,37.64,1010.22
2026-06-07 16:31:18,28.41,38.29,1010.15
2026-06-07 16:31:25,28.59,41.41,1010.1
2026-06-07 16:31:27,29.56,45.18,1010.17
2026-06-07 16:31:28,29.97,47.04,1010.18
2026-06-07 16:31:28,30.17,47.77,1010.19
2026-06-07 16:31:29,30.31,48.24,1010.22
2026-06-07 16:31:29,30.45,48.45,1010.18
2026-06-07 16:31:30,30.54,48.63,1010.17
2026-06-07 16:31:30,30.66,48.82,1010.18
2026-06-07 16:31:31,30.76,48.96,1010.14
2026-06-07 16:31:31,30.88,49.07,1010.13
2026-06-07 16:31:32,31.0,49.27,1010.13
2026-06-07 16:31:32,31.09,49.44,1010.1
2026-06-07 16:31:32,31.16,49.44,1010.09
2026-06-07 16:31:34,31.13,46.88,1010.09
2026-06-07 16:31:34,31.07,45.3,1010.17
2026-06-07 16:31:35,31.03,43.57,1010.16
2026-06-07 18:31:25,27.37,38.35,1010.7
2026-06-12 16:20:25,32.17,41.01,1011.17
2026-06-12 16:20:45,32.18,40.63,1011.16
